t,q1,q2,dq1,dq2,ddq1,ddq2,tau1,tau2
9.399999999999799627e-01,-1.309332109256496013e+00,-5.962011723875144664e-01,-2.433831910417899869e-01,-4.098065979758966915e-01,1.996087789799606133e-02,-3.208370615331888193e-02,-6.299007117947899026e-01,-1.066942101048506952e-01
9.499999999999797495e-01,-1.311724677574915621e+00,-6.001891727863072346e-01,-2.431817952239349601e-01,-4.101266336964164982e-01,2.031804569241967701e-02,-3.192218236181021407e-02,-6.307809736785734422e-01,-1.067039199558458828e-01
9.599999999999795364e-01,-1.314115346189286715e+00,-6.041806617719848171e-01,-2.429768343808027531e-01,-4.104450191137544168e-01,2.067388459400032116e-02,-3.175362457590071019e-02,-6.316572265587248047e-01,-1.067134982674239896e-01
9.699999999999793232e-01,-1.316504065716336935e+00,-6.081755984032020113e-01,-2.427683217504279789e-01,-4.107616833142206381e-01,2.102840538054715977e-02,-3.157791894936627652e-02,-6.325293198635156822e-01,-1.067229237948375958e-01
9.799999999999791100e-01,-1.318890787089997296e+00,-6.121739415348629310e-01,-2.425562704464203356e-01,-4.110765542711045106e-01,2.138162215986542936e-02,-3.139495676443598837e-02,-6.333971013385149007e-01,-1.067321750130855312e-01
9.899999999999788969e-01,-1.321275461569082488e+00,-6.161756498242176860e-01,-2.423406934246501720e-01,-4.113895588970588046e-01,2.173355237214327773e-02,-3.120463465024244862e-02,-6.342604171250133538e-01,-1.067412301550837161e-01
9.999999999999786837e-01,-1.323658040744234654e+00,-6.201806817364773350e-01,-2.421216034499314163e-01,-4.117006230986512971e-01,2.208421678768288446e-02,-3.100685479978702516e-02,-6.351191118451522399e-01,-1.067500672499837600e-01
1.009999999999978471e+00,-1.326038476544141531e+00,-6.241889955499746456e-01,-2.418990130627444168e-01,-4.120096718330745755e-01,2.243363950170309054e-02,-3.080152518336643983e-02,-6.359730286936150501e-01,-1.067586641616087711e-01
1.019999999999978257e+00,-1.328416721241037379e+00,-6.282005493608914248e-01,-2.416729345460324196e-01,-4.123166291669905781e-01,2.278184792402834086e-02,-3.058855976256816267e-02,-6.368220095357040034e-01,-1.067669986269497995e-01
1.029999999999978044e+00,-1.330792727455474500e+00,-6.322153010875842805e-01,-2.414433798921215568e-01,-4.126214183374922184e-01,2.312887276563403011e-02,-3.036787869978346474e-02,-6.376658950116295133e-01,-1.067750482946520918e-01
1.039999999999977831e+00,-1.333166448160384876e+00,-6.362332084745174754e-01,-2.412103607697929641e-01,-4.129239618151496205e-01,2.347474802094552324e-02,-3.013940856420922743e-02,-6.385045246468509239e-01,-1.067827907634063545e-01
1.049999999999977618e+00,-1.335537836684421276e+00,-6.402542290958397331e-01,-2.409738884915482438e-01,-4.132241813690730736e-01,2.381951094762501872e-02,-2.990308252959260338e-02,-6.393377369683399536e-01,-1.067902036201724136e-01
1.059999999999977405e+00,-1.337906846714600695e+00,-6.442783203586388563e-01,-2.407339739810919754e-01,-4.135219981339064987e-01,2.416320204291005913e-02,-2.965884056137291919e-02,-6.401653696266207394e-01,-1.067972644781755992e-01
1.069999999999977192e+00,-1.340273432298216383e+00,-6.483054395058714947e-01,-2.404906277410625570e-01,-4.138173326786310224e-01,2.450586501775907367e-02,-2.940662959234677937e-02,-6.409872595234861192e-01,-1.068039510146396448e-01
1.079999999999976978e+00,-1.342637547844105939e+00,-6.523355436190243495e-01,-2.402438598210406007e-01,-4.141101050770678582e-01,2.484754676756244576e-02,-2.914640368600956641e-02,-6.418032429452624754e-01,-1.068102410082410331e-01
1.089999999999976765e+00,-1.344999148123186883e+00,-6.563685896205112558e-01,-2.399936797858525928e-01,-4.144002349799618679e-01,2.518829734184023852e-02,-2.887812419018261426e-02,-6.426131557015101192e-01,-1.068161123762713244e-01
1.099999999999976552e+00,-1.347358188268336532e+00,-6.604045342758358972e-01,-2.397400966841947145e-01,-4.146876416885421079e-01,2.552816991134496810e-02,-2.860175987852497242e-02,-6.434168332690438641e-01,-1.068215432114727886e-01
1.109999999999976339e+00,-1.349714623773568434e+00,-6.644433341955353622e-01,-2.394831190175853441e-01,-4.149722442294428992e-01,2.586722073440798214e-02,-2.831728708052662011e-02,-6.442141109411726463e-01,-1.068265118184976437e-01
